Address,Historic Name of Resource,Building Type,Freestanding or Other,Style,SubStyle,Primary Style,Approximate,Range,StartDate,EndDate,"NHL
Rating",#C,#  N/C,N/C Reason,latitude,longitude,Street Number,Modifier,Street Direction,Street,Street Type,Notes
108 East 1st Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.734105,-85.379611,108,,East,1st,Street,
110 East 1st Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.734282,-85.379551,110,,East,1st,Street,
111 East 1st Street,,House,,Vernacular: Other,Gabled-ell,Other: Gabled-ell,TRUE,FALSE,1890,1890,C,1,,,38.734396,-85.379265,111,,East,1st,Street,
114 East 1st Street,,House,,Vernacular: Other,Gabled-ell,Other: Gabled-ell,TRUE,FALSE,1890,1890,C,1,,,38.734102,-85.379405,114,,East,1st,Street,
209 East 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1875,1875,C,1,,,38.734339,-85.378256,209,,East,1st,Street,
211 East 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1870,1870,C,1,,,38.734330,-85.378105,211,,East,1st,Street,
212 East 1st Street,,House,,Vernacular: Other,Hall and Parlor,Other: Hall and Parlor,TRUE,FALSE,1870,1870,N/C,,1,A,38.733981,-85.378174,212,,East,1st,Street,
214 East 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1890,1890,C,1,,,38.733847,-85.377962,214,,East,1st,Street,
214 East 1st Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1890,1890,C,1,,,38.733847,-85.377962,214,,East,1st,Street,
216 East 1st Street,,House,,Federal,None,Federal,TRUE,FALSE,1825,1825,C,1,,,38.733706,-85.377812,216,,East,1st,Street,
220 East 1st Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1870,1870,C,1,,,38.733796,-85.377681,220,,East,1st,Street,
310 East 1st Street,Stone Barn,Barn,,Barn,English Barn,Other: English Barn,TRUE,FALSE,1870,1870,C,1,,,38.733790,-85.376582,310,,East,1st,Street,
313 East 1st Street,,Commercial Building,,Federal,None,Federal,TRUE,FALSE,1900,1900,C,1,,,38.734157,-85.376498,313,,East,1st,Street,
314 East 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1860,1860,C,1,,,38.733662,-85.376390,314,,East,1st,Street,
316 East 1st Street,,House,,Vernacular: Shotgun,None,Other: shotgun,TRUE,FALSE,1870,1870,C,1,,,38.733657,-85.376311,316,,East,1st,Street,
317 East 1st Street,,House,,Vernacular: Other,Cross Gable,Other: Cross gable,TRUE,FALSE,1900,1900,C,1,,,38.734150,-85.376283,317,,East,1st,Street,
318 East 1st Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1870,1870,C,2,,,38.733693,-85.376198,318,,East,1st,Street,
319 East 1st Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1900,1900,C,2,,,38.734027,-85.376142,319,,East,1st,Street,
400 East 1st Street,Madison Gas Works,Utility,,None,None,No Style,TRUE,FALSE,1890,1890,C,1,,,38.732723,-85.375683,400,,East,1st,Street,
409 East 1st Street,,House,,Vernacular: Other,Hall and Parlor,Other: Hall and parlor,TRUE,FALSE,1900,1900,C,1,,,38.734000,-85.375278,409,,East,1st,Street,
411 East 1st Street,,House,,Vernacular: Other,Hall and Parlor,Other: Hall and Parlor,TRUE,FALSE,1900,1900,N/C,,1,A,38.733992,-85.375112,411,,East,1st,Street,
